"experiment","group","AIC","AICKlauer","BIC","BICKlauer","c","d","i","np","nq","p","q","sb","sf","sfb","x"
1,1,25.0935024229696,25.09,65.8351096441878,65.84,0.420070187169556,0.862784344149763,0.868038883267657,0.781251619326289,0.940500838182681,0.92910535700035,0.922447177589173,0.835523283616258,0.931280046206719,0.893684601939044,0.932620894612075
1,2,24.3474451897303,24.35,66.3683574236062,66.37,0.441503784240216,0.761061195990137,0.754424473801597,0.740434572278769,0.938143421871266,0.975851122079644,0.938541244130565,1,0.899870517999435,0.79984090830214,0.891118300346175
2,1,27.892710609533,27.89,69.9462154598462,69.95,0.41293078390963,0.787617720543483,0.876665730995143,0.860078386517776,0.941577728686201,0.932278167001222,0.824934251301118,0.77667350791461,0.875634940681808,0.897767131470914,0.919344663915558
2,2,56.4714254118774,56.47,97.2130326330956,97.21,0.598128800907595,0.870522306233449,0.745235745455141,0.797030774866869,0.963796542517411,0.920293833858707,0.964847120162571,0.595899690610511,0.900009733606113,0.80156414428368,0.728234627310089
3,1,25.2663586853678,25.27,67.2217945354435,67.22,0.436195519436512,0.770006991490839,0.852976139792374,0.778464143904084,0.952171104646401,0.942166124343724,0.911372446966953,0.812503981353693,0.897696648597095,0.827322883034649,0.940522984932091
3,2,29.4974832141231,29.5,70.8106475635792,70.81,0.60679400584512,0.691031099474455,0.826822837127157,0.464156168487801,0.660208110539572,0.963781428577896,0.855442886021184,0.604956952827962,0.962799591019207,0.81432983009892,0.718149175502803
4,1,28.1600619571354,28.16,69.4732263065915,69.47,0.368260080922792,0.853472492018201,0.85873900377997,0.741299167038676,0.838717553740667,0.906789633728016,0.928529963032496,0.715715510905037,0.988130571083572,0.826438913912805,0.918160858050902
4,2,49.0907316278872,49.09,90.4386511405373,90.44,0.57255876293135,0.768154638148903,0.836480662138643,0.356959021616461,0.757947917277771,0.975474070989497,0.951677410708947,1,0.851129706183787,0.755954972052769,0.786093902848355
5,1,24.0116743955482,24.01,66.2906629828932,66.29,0.437878444883934,0.813244168343397,0.898577877337515,0.931449738313998,0.881211619589812,0.936099316325556,0.939874403713386,0.767465668871001,0.976213115700265,0.884724539300049,0.955361256546005
5,2,35.4518220179848,35.45,78.0451177022144,78.05,0.457108532801799,0.836154134569335,0.859896258013507,0.820554978820867,0.777141814980603,0.924756074430898,0.902730584496322,0.749541964655815,1,0.801401165802597,0.941996791829443
5,3,37.1910871974051,37.19,78.7792658711207,78.78,0.43337673714993,0.522266635407419,0.785591995056585,0.535361219933591,0.960651261786941,0.948698119644101,0.936240497240258,1,0.918230943869144,0.86935441181673,0.86056182776008
5,4,33.0270373425546,33.03,73.7686445637729,73.77,0.430065418816138,0.454273883752012,0.78435421402146,0.699357565454178,0.917506610362002,0.902998189377475,0.885108077141076,1,0.920642283959021,0.652120278342125,0.833537522165264
6,1,27.7509764766176,27.75,69.3730534822447,69.37,0.439567724773924,0.777055296284231,0.762283306164338,0.721400679551369,0.960602202669242,0.828349022225944,0.957711494003113,0.765193493282775,0.767884405012802,0.822524064602472,0.855757948384168
6,2,28.1874424038724,28.19,69.5006067533284,69.5,0.447896099203292,0.781733948208576,0.708335522428609,0.527726217906374,0.919811582289532,0.897627581212683,0.956951272354497,0.549300919139373,0.806993694270746,0.910370972236689,0.907895156481881
6,3,22.248128991544,22.25,63.630694202126,63.63,0.361878653672306,0.692716457386166,0.76934318687622,0.784174946808858,0.846054242607782,0.960040068678954,0.730876078687154,0.585724218171162,0.873463438093433,0.797571525830936,0.783384923403764
6,4,22.9238178343821,22.92,64.5796890294159,64.58,0.334934962131815,0.709493311897203,0.715735974112928,0.695740514944227,0.725794007652411,0.950581023840117,0.887018208666561,0.829055930072525,0.860655977287117,0.837482865816917,0.840738182587168
