"experiment","group","AIC","AICKlauer","BIC","BICKlauer","c","d","i","np","nq","p","q","s","x"
1,1,21.8814105737815,21.88,55.2154528456873,55.22,0.408927934007293,0.856193610566142,0.867984336868668,0.755919806269499,0.951184080481659,0.936741249859632,0.898655224683117,0.90299879945994,0.932813203195907
1,2,25.7483050935612,25.75,60.1290514667324,60.13,0.447053840697194,0.750473454996998,0.755970345348752,0.755166332713164,0.948904633510812,0.976869011114152,0.934659828511243,0.855913778582625,0.891087401130047
2,1,24.7078947227728,24.92,59.11530778212,59.33,0.409676155770339,0.795607356572688,0.875336721254783,0.820875135087925,0.93818110206402,0.936008307441422,0.82659176592854,0.879502358866977,0.916742369101455
2,2,58.9002879391774,59.03,92.2343302110832,92.37,0.589900000333739,0.896151562042456,0.736836920560156,0.76577111444789,0.971962418091248,0.913653878241196,0.950242081930593,0.859730221377887,0.732521573806261
3,1,23.0850499979599,25.39,57.4122247843855,59.72,0.425391641526318,0.765102757700054,0.853123171016147,0.759330139514681,0.965538667780229,0.948893297501177,0.88809854329326,0.848954325804357,0.940635422870683
3,2,35.8948050008387,38.35,69.6964849231209,72.16,0.543147346252473,0.725895566900631,0.839118852767145,0.36252183258308,0.778206793775163,0.977507831029068,0.770615334657984,0.844057431005363,0.69348495294192
4,1,30.4732555041992,30.73,64.2749354264814,64.53,0.30959947685809,0.828402539096649,0.86154223639652,0.690634307008695,0.899041028938836,0.922305072984423,0.818381549789714,0.872637381319463,0.922843063763661
4,2,48.1585542897285,48.67,81.988670254624,82.5,0.599544871624251,0.750039230582372,0.844026137173471,0.394330211573023,0.805776954655063,0.972990325322091,0.949738645170863,0.844127960633103,0.792080125612708
5,1,26.7920944974624,26.84,61.3839942507446,61.43,0.410877959661293,0.810567550001318,0.898769590750387,0.861947227712038,0.926304508386166,0.944917395775623,0.88747692372811,0.907912530624185,0.955974206809693
5,2,48.0543306900217,50,82.9033907953005,84.85,0.361686553566274,0.814124613976473,0.862283145157245,0.767462540722172,0.850818917387779,0.926597744901945,0.73962857350692,0.884104874473462,0.950900562204646
5,3,35.1736603588397,36.24,69.2003520009707,70.27,0.444471275220129,0.503903081464492,0.788536355862304,0.56659318658115,0.963051974388629,0.947632013340966,0.939521828798633,0.90518813582756,0.860722105761421
5,4,46.4807525402173,46.86,79.8147948121231,80.19,0.419047102960993,0.460315499175669,0.787988610600376,0.734723153892035,0.941660377452345,0.857122468733445,0.882611018118322,0.793439896254606,0.844664722555436
6,1,24.3233238608564,27.38,58.377750501824,61.43,0.438559888128717,0.779148019613099,0.761716678545666,0.724130005044216,0.953974229699765,0.824268386178001,0.962517955041861,0.800857996443105,0.854711526487435
6,2,27.409105243207,28.12,61.2107851654892,61.92,0.429821411645167,0.857054509485451,0.69637063275452,0.499476975162183,0.906601080330241,0.875400752777435,0.962338161126744,0.853373101706431,0.927149345274783
6,3,20.829158053511,20.96,54.6876204985326,54.82,0.321180195082414,0.704998611707941,0.770078260463041,0.718421116601728,0.872472987681712,0.971143379955469,0.689368790766925,0.794754181339514,0.778990284106519
6,4,18.9861283368225,23.5,53.0682047691229,57.58,0.335100804039078,0.712640713650102,0.7163631901197,0.69188930424154,0.733052451353561,0.952338403599943,0.884384640625583,0.842606067737304,0.840201562860306
